ensembl_id,gene_symbol
ENSG00000211653,IGLV1-40
ENSG00000211658,IGLV3-27
ENSG00000211659,IGLV3-25
ENSG00000211660,IGLV2-23
ENSG00000211662,IGLV3-21
ENSG00000211664,IGLV2-18
ENSG00000211665,IGLV3-16
ENSG00000211666,IGLV2-14
ENSG00000211668,IGLV2-11
ENSG00000211669,IGLV3-10
ENSG00000278196,IGLV2-8
ENSG00000254709,IGLL5
ENSG00000211677,IGLC2
ENSG00000211679,IGLC3
ENSG00000222037,IGLC6
ENSG00000211685,IGLC7
ENSG00000128322,IGLL1
ENSG00000128218,VPREB3
ENSG00000100219,XBP1
ENSG00000128342,LIF
ENSG00000099985,OSM
ENSG00000184459,BPIFC
ENSG00000100234,TIMP3
ENSG00000100292,HMOX1
ENSG00000100297,MCM5
ENSG00000228587,
ENSG00000100368,CSF2RB
ENSG00000100385,IL2RB
ENSG00000100079,LGALS2
ENSG00000100097,LGALS1
ENSG00000185022,MAFF
ENSG00000128383,APOBEC3A
ENSG00000100351,GRAP2
ENSG00000133477,FAM83F
ENSG00000100162,CENPM
ENSG00000075218,GTSE1
ENSG00000218357,LINC01644
ENSG00000025708,TYMP
ENSG00000226771,
ENSG00000236119,
ENSG00000182240,BACE2
ENSG00000157601,MX1
ENSG00000160180,TFF3
ENSG00000160255,ITGB2
ENSG00000184274,LINC00315
ENSG00000160307,S100B
